Song Name,Artist,Album,Release Date,Popularity
Live Well,Palace,So Long Forever,04/11/2016,70
Who's Ready for Tomorrow,RAT BOY,"Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)",18/12/2020,71
Bitter,Palace,So Long Forever,04/11/2016,64
"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",George Frideric Handel,Handel Sarabande,2002,69
T-Shirt Weather,Circa Waves,Young Chasers (Deluxe),30/03/2015,67
On the Back Burner,The Reytons,Alcopops & Charity Shops,03/08/2018,67
How Far We've Come,Palace,How Far We've Come,25/04/2023,58
Heaven Up There,Palace,Life After,12/07/2019,58
Can't Be Mine,Bad Nerves,Bad Nerves,20/11/2020,56
Never Said It Was Easy,Palace,Shoals,21/01/2022,56
All We've Ever Wanted,Palace,All We've Ever Wanted,28/02/2023,55
Baby Drummer,Bad Nerves,Bad Nerves,20/11/2020,56
"Oboe Concerto No. 3 in G Minor, HWV 287: III. Sarabande (Largo)",George Frideric Handel,Best Recordings of All Time,25/06/2023,16
"Concerto grosso in G Major, Op. 3, No. 3, HWV 314: III. Adagio",George Frideric Handel,Best Recordings of All Time,25/06/2023,12
Deidamia - Edited & Prepared: Bonynge: Overture,George Frideric Handel,Best Recordings of All Time,25/06/2023,14
"Oboe Concerto No. 3 in G Minor, HWV 287: I. Grave",George Frideric Handel,Best Recordings of All Time,25/06/2023,17
"Oboe Concerto No. 1 in B-Flat Major, HWV 301: I. Adagio",George Frideric Handel,Best Recordings of All Time,25/06/2023,12
"Messiah, HWV 56 / Pt. 1: Symphony",George Frideric Handel,Best Recordings of All Time,25/06/2023,13
"Oboe Concerto No. 1 In B-Flat Major, HWV 301: III. Siciliano (Largo)",George Frideric Handel,Best Recordings of All Time,25/06/2023,18
"Oboe Concerto No. 3 in G Minor, HWV 287: IV. Allegro",George Frideric Handel,Best Recordings of All Time,25/06/2023,16
"Concerto grosso in G Major, Op. 3, No. 3, HWV 314: I. Largo e staccato",George Frideric Handel,Best Recordings of All Time,25/06/2023,11
"Music for the Royal Fireworks, HWV351 (1749): La Réjouissance",George Frideric Handel,Best Recordings of All Time,25/06/2023,12
"Oboe Concerto No. 3 in G Minor, HWV 287: II. Allegro",George Frideric Handel,Best Recordings of All Time,25/06/2023,11
"Flute Sonata in B Minor, Op. 1 No. 9, HWV 367b: IV. Adagio",George Frideric Handel,Best Recordings of All Time,25/06/2023,12
I Want What You Got,Palace,Lost in the Night,20/10/2014,52
All Yours,APRE,The Movement of Time,25/05/2018,55
Holy Smoke,Palace,So Long Forever,04/11/2016,52
Retro Emporium,The Reytons,Retro Emporium,20/12/2019,62
Low Life (2018),The Reytons,Alcopops & Charity Shops,03/08/2018,62
When Everything Was Lost,Palace,When Everything Was Lost,20/06/2023,52
Reckless Tongue,Airways,Reckless Tongue,17/03/2017,57
Have Faith,Palace,So Long Forever,04/11/2016,53
Do You Wanna Talk,Circa Waves,Never Going Under,13/01/2023,60
Don't Stop,Bad Nerves,Don't Stop,13/12/2021,55
White Roses,Flyte,White Roses,05/07/2019,52
Lover (Don't Let Me Down),Palace,Shoals,21/01/2022,52
So Long Forever,Palace,So Long Forever,04/11/2016,51
"Someday, Somewhere",Palace,"Someday, Somewhere",17/07/2020,51
She Said,Sundara Karma,Youth is Only Ever Fun in Retrospect,07/07/2017,58
Last Beat,Bad Nerves,Bad Nerves,20/11/2020,51
"Suite in D Minor, HWV 447: Allemande",George Frideric Handel,Baroque Conversations,10/02/2012,57
"Rinaldo, HWV 7: Lascia ch'io pianga (Arr. for Piano)",George Frideric Handel,Handel Variations,08/11/2019,54
Dreaming,Bad Nerves,Bad Nerves,20/11/2020,50
More Than This,The Luka State,More Than This,10/03/2023,48
Bury Me,The Luka State,Room's On Fire,29/05/2020,48
Veins,Palace,Veins,15/07/2014,51
Strangers,Fizzy Blood,Strangers,10/08/2018,52
Bloom,Corella,Bloom,10/05/2019,60
Lovesick,Peace,Lovesick,05/07/2013,52
Indigo Puff,Sundara Karma,Indigo Puff,2014,53
"Handel: Suite No. 11 in D Minor, HWV 437: III. Sarabande - Remastered 2022",George Frideric Handel,Piano Chillout: 22 Relaxing Classical Themes (Remastered 2022),01/07/2022,57
"Suite in B-Flat Major, HWV 434: IV. Menuet",George Frideric Handel,Motherland,19/05/2014,53
Autoportrait,Demob Happy,Autoportrait,24/07/2019,53
Break The Silence,Palace,So Long Forever,04/11/2016,49
Charlemagne,Blossoms,Blossoms,05/08/2016,66
Abdelazer: Rondeau,Henry Purcell,The Ultimate Baroque Album,01/01/2004,45
Move into Me,Bad Sounds,Move into Me,25/01/2021,53
Red Smoke,The Reytons,Red Smoke,30/10/2020,58
Never Going Under,Circa Waves,Never Going Under,13/01/2023,57
Suite From Abdelzar: I. Rondeau,Henry Purcell,A Baroque Feast,09/04/2002,55
"Messiah, HWV 56, Part I: Pastoral Symphony, ""Pifa"" (arr. L. Stokowski)",George Frideric Handel,"Bach, J.S. / Purcell / Handel: Stokowski Transcriptions",01/09/2006,53
Give Me The Rain,Palace,Shoals,21/01/2022,47
How Far We've Come,Palace,When Everything Was Lost,20/06/2023,44
Swing (In A Dream),Squid,O Monolith,09/06/2023,53
Swing (In A Dream),Squid,Swing (In A Dream),08/02/2023,49
Oh No (I Think I’m In Love),Blossoms,Foolish Loving Spaces (Deluxe Edition),31/01/2020,54
All We've Ever Wanted,Palace,When Everything Was Lost,20/06/2023,43
Me and My Brain,Airways,Terrible Town,08/10/2021,52
Where Sky Becomes Sea,Palace,Shoals,21/01/2022,47
Likewise,RAT BOY,"Cyberpunk 2077: Radio, Vol. 3 (Original Soundtrack)",25/12/2020,49
"Rinaldo, HWV 7: Lascia ch'io pianga (Arr. for Piano & Bass)",George Frideric Handel,Tranquillo II,26/04/2019,53
You Change with the Seasons,The Night Café,Get Away from the Feeling,10/03/2017,53
Flame,Sundara Karma,Flame,11/11/2016,56
"Rinaldo, HWV 7: Lascia ch'io pianga (Arr. for Piano)",George Frideric Handel,"Rinaldo, HWV 7: Lascia ch'io pianga (Arr. for Piano)",04/10/2019,51
All I Want To Hear You Say,Sea Girls,All I Want To Hear You Say,11/09/2018,59
"King Arthur, Z. 628, ""The British Worthy"": Air",Henry Purcell,Purcell / Handel: Theatre Music,01/01/2000,53
Starstruck,Sorry,925,27/03/2020,49
100 Strangers,Circa Waves,Young Chasers (Deluxe),30/03/2015,54
Devil’s Den,Squid,O Monolith,09/06/2023,51
"Abdelazer, Z.570: 2. Rondeau",Henry Purcell,Queen's Platinum Jubilee Classical Music,01/06/2022,44
Let On,Corella,Let On,18/01/2019,56
Siphon Song,Squid,O Monolith,09/06/2023,51
"Purcell: King Arthur, Z. 628, Act II: Second Act Tune. Air",Henry Purcell,"Purcell Edition Volume 1 : Dido & Aeneas, King Arthur & The Fairy Queen",10/11/2009,48
"Solomon, HWV 67 / Act III: Sinfonia ""The Arrival of the Queen of Sheba""",George Frideric Handel,Clásicos de Gramófono,16/06/2023,0
"Water Music Suite No. 2 in D Major, HWV 349: II. Alla Hornpipe",George Frideric Handel,Clásicos de Gramófono,16/06/2023,0
It's Over,Palace,So Long Forever,04/11/2016,46
The Rift,Chappaqua Wrestling,The Rift,21/08/2020,48
Call Me Out,Sea Girls,Call Me Out,08/06/2017,57
Shame On You,Palace,Shoals,21/01/2022,46
Undergrowth,Squid,O Monolith,09/06/2023,51
After The Flash,Squid,O Monolith,09/06/2023,51
Heavenly Maybe,Gengahr,Sanctuary,31/01/2020,54
Everyone's A Winner,Flyte,This Is Really Going To Hurt,09/04/2021,50
"Rinaldo, HWV 7a, Act II, Scene 4: Lascia ch'io pianga - Arr. for French Horn",George Frideric Handel,Baroque Arias for Horn (Beyond Words),19/02/2021,52
The Blades,Squid,O Monolith,09/06/2023,51
Cameos,Swimming Tapes,Souvenirs EP,27/01/2017,44
Honey Sweet,Blossoms,Blossoms,05/08/2016,59
I Like The Way You Die,Black Honey,I Like The Way You Die,28/10/2020,51
Berlin,Palace,Life After,12/07/2019,45
I'll Be Fine,Palace,I'll Be Fine,04/09/2020,45
"Dido and Aeneas, Z. 626 / Act III: ""When I Am Laid in Earth"" Dido's Lamento (Arr. by Mathieu Herzog for Cello and Strings)",Henry Purcell,Voice Of Hope,05/06/2020,49
The Blades,Squid,The Blades,25/05/2023,48
Martyr,Palace,Life After,12/07/2019,45
Head Above The Water,Palace,Chase The Light,08/06/2015,44
Blackheath,Palace,So Long Forever,04/11/2016,43
Lover (Don't Let Me Down),Palace,Lover (Don’t Let Me Down),30/09/2021,43
Face In The Crowd,Palace,Life After,12/07/2019,44
Your Girlfriend,Blossoms,Foolish Loving Spaces (Deluxe Edition),31/01/2020,63
Radio Punk,Bad Nerves,Bad Nerves,20/11/2020,46
Be Mine,The Covasettes,Be Mine,24/07/2020,47
Fire In The Sky,Palace,So Long Forever,04/11/2016,45
Losing You,Flyte,This Is Really Going To Hurt,09/04/2021,47
Carry You Home,Circa Waves,Carry You Home,29/11/2022,49
"Concerto in D Minor, Op.7, No.4: I. Adagio",George Frideric Handel,"Handel: Organ Concertos, Op. 7",11/08/2009,47
Come Around,Corella,Come Around,04/10/2019,56
Starstruck - Single Version,Sorry,Starstruck,05/11/2018,47
"Suite No. 7 in B-Flat Major, HWV 440: III. Sarabande",George Frideric Handel,The Handel Project: Handel-Suites & Brahms-Variations,03/02/2023,46
Running Wild,Palace,Life After,12/07/2019,45
I've Got A Girl,Flyte,This Is Really Going To Hurt,09/04/2021,45
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part II: Accompagnato. Hence, boast not, ye profane (Il Moderato)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,0
The Drop,Sports Team,Gulp!,23/09/2022,42
Harrison Lesser,The Reytons,Alcopops & Charity Shops,03/08/2018,56
Addicted,The Night Café,151,23/08/2019,47
Are We Having Any Fun yet? - Ayokay Remix,Larkins,Are We Having Any Fun yet? (ayokay Remix),21/08/2020,42
Fade,Palace,Shoals,21/01/2022,43
"Music for a While (from Oedipus, Z. 583)",Henry Purcell,Night Passages,22/04/2022,46
Feast Is Over,Calva Louise,Feast Is Over,17/03/2023,45
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Air. Sweet bird, that shun'st the noise of folly (Il Penseroso)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,29
Cheer Up London,SOFT PLAY,Are You Satisfied?,01/06/2015,52
"Water Music, Suite No.3, HWV 350: I. Lentement",George Frideric Handel,"Handel: Water Music, Suite No.3, HWV 350: Lentement",23/06/2023,25
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Air and Chorus. Haste thee, nymph, and bring with thee (L'Allegro)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,13
Black Magic,The Amazons,The Amazons (Deluxe),26/05/2017,53
"Abdelazar Suite, Z. 570: VI. Air",Henry Purcell,Camerata Nordica Plays Baroque,01/10/2010,50
Tough to Be a Dreamer,Felix Hagan & the Family,Attention Seeker,24/11/2017,42
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Air. Oft, on a plat of rising ground (Il Penseroso)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,10
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Air. Mirth, admit me of thy crew (L'Allegro)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,12
Cigarette Packet,Sorry,Separate / Cigarette Packet,16/03/2021,47
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Accompagnato. Hence vain deluding joys (Il Penseroso)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,15
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Air. Let me wander, not unseen (L'Allegro)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,9
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part II: Accompagnato. Hence, vain deluding joys (Il Penseroso)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,16
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Accompagnato. First, and chief, on golden wing (Il Penseroso)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,11
Gravity,Palace,Shoals,21/01/2022,42
"L'Allegro, il Penseroso ed il Moderato, HWV 55, Part I: Air. Come rather, goddess sage and holy (Il Penseroso)",George Frideric Handel,"Handel: L'Allegro, il Penseroso ed il Moderato",23/06/2023,14
